id,key,value,type
26778799,highway,traffic_signals,regular
26781898,highway,traffic_signals,regular
137378055,created_by,JOSM,regular
137408236,created_by,JOSM,regular
137408656,created_by,JOSM,regular
137409034,created_by,JOSM,regular
137409378,created_by,JOSM,regular
137409697,created_by,JOSM,regular
137410018,created_by,JOSM,regular
137410374,created_by,JOSM,regular
137410701,created_by,JOSM,regular
137411010,created_by,JOSM,regular
137411318,created_by,JOSM,regular
137411648,created_by,JOSM,regular
137412023,created_by,JOSM,regular
137412632,created_by,JOSM,regular
139697526,exit_to,Paya Lebar Road;Geylang Road;Airport Road,regular
139697526,highway,motorway_junction,regular
139697526,name,Paya Lebar,regular
139697526,ref,11,regular
148981667,created_by,JOSM,regular
148982209,created_by,JOSM,regular
148990874,created_by,JOSM,regular
148992646,created_by,JOSM,regular
157992305,created_by,JOSM,regular
158003547,created_by,JOSM,regular
158003907,created_by,JOSM,regular
158004297,created_by,JOSM,regular
158015014,created_by,JOSM,regular
158015313,created_by,JOSM,regular
158015832,created_by,JOSM,regular
158016216,created_by,JOSM,regular
158042797,created_by,JOSM,regular
158043131,created_by,JOSM,regular
158043238,created_by,JOSM,regular
158043337,created_by,JOSM,regular
158043692,created_by,JOSM,regular
158044013,created_by,JOSM,regular
158044380,created_by,JOSM,regular
158045363,created_by,JOSM,regular
158045635,created_by,JOSM,regular
158052886,created_by,JOSM,regular
158053205,created_by,JOSM,regular
158066942,created_by,JOSM,regular
158068069,created_by,JOSM,regular
172518159,created_by,JOSM,regular
172566179,created_by,JOSM,regular
175213763,created_by,JOSM,regular
175226729,created_by,JOSM,regular
175227205,created_by,JOSM,regular
175227550,created_by,JOSM,regular
175258680,highway,traffic_signals,regular
175296516,created_by,JOSM,regular
175320111,created_by,JOSM,regular
206493462,name,Kallang,regular
206493462,en,Kallang,name
206493462,zh,加冷,name
206493462,railway,station,regular
206493462,ref,EW10,regular
206493462,wheelchair,yes,regular
206833803,highway,traffic_signals,regular
207725948,name,Tampines,regular
207725948,railway,station,regular
207725948,ref,EW2;DT32,regular
207725948,wheelchair,yes,regular
208523720,name,Tiong Bahru,regular
208523720,en,Tiong Bahru,name
208523720,zh,中峇鲁,name
208523720,railway,station,regular
208523720,ref,EW17,regular
209451044,name,Clementi,regular
209451044,en,Clementi,name
209451044,ta,கிளிமெண்டி,name
209451044,zh,金文泰,name
209451044,railway,station,regular
209451044,ref,EW23,regular
209451044,wheelchair,yes,regular
211885056,created_by,JOSM,regular
211910554,created_by,JOSM,regular
213010628,created_by,JOSM,regular
213026767,name,Sengkang,regular
213026767,railway,station,regular
213026767,ref,NE16;STC,regular
213026767,wheelchair,yes,regular
213126531,name,Chinatown,regular
213126531,zh,牛车水,name
213126531,railway,station,regular
213126531,ref,NE4;DT19,regular
214293094,created_by,JOSM,regular
214293518,created_by,JOSM,regular
214294635,created_by,JOSM,regular
214306160,created_by,JOSM,regular
214332458,created_by,JOSM,regular
214332849,created_by,JOSM,regular
214333207,created_by,JOSM,regular
214333679,created_by,JOSM,regular
214334045,created_by,JOSM,regular
214334350,created_by,JOSM,regular
214334732,created_by,JOSM,regular
214335116,created_by,JOSM,regular
214345145,created_by,JOSM,regular
214345474,created_by,JOSM,regular
214345827,created_by,JOSM,regular
214346150,created_by,JOSM,regular
214346487,created_by,JOSM,regular
214346807,created_by,JOSM,regular
214347173,created_by,JOSM,regular
214356024,created_by,JOSM,regular
214356423,created_by,JOSM,regular
214356750,created_by,JOSM,regular
214357085,created_by,JOSM,regular
214357494,created_by,JOSM,regular
214357841,created_by,JOSM,regular
214358170,created_by,JOSM,regular
214358500,created_by,JOSM,regular
214358943,created_by,JOSM,regular
214392694,created_by,JOSM,regular
214393030,created_by,JOSM,regular
214393408,created_by,JOSM,regular
214393783,created_by,JOSM,regular
214394196,created_by,JOSM,regular
214394444,created_by,JOSM,regular
214394764,created_by,JOSM,regular
214395878,created_by,JOSM,regular
214409889,created_by,JOSM,regular
214410299,created_by,JOSM,regular
214410699,created_by,JOSM,regular
214411180,created_by,JOSM,regular
214953139,created_by,JOSM,regular
214953422,created_by,JOSM,regular
214953722,created_by,JOSM,regular
214954009,created_by,JOSM,regular
214954296,created_by,JOSM,regular
214954609,created_by,JOSM,regular
214962680,created_by,JOSM,regular
