id,user,uid,version,changeset,timestamp
4887867,OSMF Redaction Account,722137,11,12387176,2012-07-20T18:34:36Z
9588211,JaLooNz,741163,11,12460490,2012-07-24T06:06:31Z
15005218,Dmitry2013,1185631,8,16599462,2013-06-18T07:27:44Z
15774741,Dmitry2013,1185631,9,16599462,2013-06-18T07:24:21Z
16691602,cboothroyd,255802,6,12638528,2012-08-06T20:29:22Z
17050888,cboothroyd,255802,25,11913019,2012-06-16T10:13:26Z
19939726,landfahrer,1069176,50,18791374,2013-11-08T22:51:17Z
20143603,cboothroyd,255802,25,10463358,2012-01-22T11:00:55Z
20250182,matx17,602634,8,16895273,2013-07-10T06:16:54Z
20418023,cboothroyd,255802,5,12868836,2012-08-26T16:48:27Z
20566014,cboothroyd,255802,8,14894274,2013-02-03T11:07:55Z
21309180,ck77,112724,4,18577836,2013-10-28T03:01:17Z
21462998,42429,42429,10,5606166,2010-08-27T10:09:23Z
21560675,singastreet,23295,7,7647974,2011-03-23T16:49:56Z
21581831,OSMF Redaction Account,722137,7,12387294,2012-07-20T18:38:10Z
21677619,Melaneum,27467,4,4875258,2010-06-01T14:54:16Z
21786033,cboothroyd,255802,4,8739693,2011-07-16T13:38:42Z
21815901,JaLooNz,741163,16,12901850,2012-08-29T08:12:45Z
21940432,Ropino,42123,9,13404686,2012-10-07T20:50:09Z
21959097,cboothroyd,255802,2,9736890,2011-11-04T09:17:22Z
21998978,Wrightbus,261189,14,14596196,2013-01-10T10:44:29Z
22012988,fuyu213,1785258,16,18530484,2013-10-25T06:23:15Z
22034474,Singeo,33336,13,14083807,2012-11-29T09:06:41Z
22053487,cboothroyd,255802,10,11511393,2012-05-05T19:13:26Z
22278427,cboothroyd,255802,5,12391526,2012-07-20T20:59:40Z
22291137,Warwick Harris,1713499,20,17435000,2013-08-21T03:07:47Z
22308636,jayh272416,656466,8,11306602,2012-04-15T07:17:24Z
22325096,42429,42429,5,5614685,2010-08-28T11:00:47Z
22371290,JaLooNz,741163,9,19425811,2013-12-13T08:54:09Z
22393127,mapbreeze,111118,6,7469937,2011-03-06T06:03:21Z
22516029,singastreet,23295,3,679399,2008-01-21T23:27:43Z
22561115,cboothroyd,255802,5,11269683,2012-04-11T20:10:46Z
22562944,Singeo,33336,5,17901350,2013-09-18T08:24:15Z
22567304,singastreet,23295,1,680424,2008-01-22T13:42:16Z
22616618,42429,42429,10,5600853,2010-08-26T17:14:19Z
22617438,jaredc,378414,2,7236325,2011-02-09T14:57:40Z
22650830,singastreet,23295,1,690180,2008-01-24T12:36:58Z
22652297,singastreet,23295,1,690180,2008-01-24T13:55:58Z
22652716,JaLooNz,741163,8,12642649,2012-08-07T08:57:24Z
22674814,cboothroyd,255802,2,11927804,2012-06-17T16:53:44Z
22675226,JaLooNz,741163,9,12560373,2012-07-31T12:13:10Z
22676801,samden,427807,9,14715513,2013-01-20T03:05:00Z
22694121,matx17,602634,9,11916321,2012-06-16T15:38:21Z
22694146,JaLooNz,741163,5,12739641,2012-08-15T17:30:44Z
22694202,singastreet,23295,1,694378,2008-01-26T05:30:40Z
22694283,JaLooNz,741163,4,14439396,2012-12-28T15:06:40Z
