id,key,value,type
4887867,highway,residential,regular
4887867,name,Hougang Ave 1,regular
9588211,highway,residential,regular
9588211,name,Mohamed Sultan Road,regular
15005218,bridge,yes,regular
15005218,highway,motorway,regular
15005218,lanes,2,regular
15005218,layer,1,regular
15005218,name,East Coast Parkway,regular
15005218,oneway,yes,regular
15005218,ref,ECP,regular
15774741,highway,motorway,regular
15774741,lanes,2,regular
15774741,name,Central Expressway,regular
15774741,oneway,yes,regular
15774741,ref,CTE,regular
16691602,name,Pulau Brani,regular
16691602,natural,coastline,regular
16691602,place,island,regular
17050888,highway,primary,regular
17050888,name,Upper Serangoon Road,regular
17050888,oneway,yes,regular
19939726,color,#1C9E4C,regular
19939726,colour,#1C9E4C,regular
19939726,gauge,1435,regular
19939726,layer,-3,regular
19939726,name,MRT East West Line (EW),regular
19939726,railway,subway,regular
19939726,ref,EWL,regular
19939726,tunnel,yes,regular
19939726,type,route,regular
20143603,highway,primary,regular
20143603,name,Yio Chu Kang Road,regular
20143603,oneway,yes,regular
20250182,landuse,reservoir,regular
20250182,name,Bedok Reservoir,regular
20250182,note,certain parts are estimated ???,regular
20250182,source,Yahoo aerial images,regular
21309180,bridge,yes,regular
21309180,highway,motorway,regular
21309180,layer,1,regular
21309180,name,Central Expressway,regular
21309180,oneway,yes,regular
21309180,ref,CTE,regular
21462998,highway,primary,regular
21462998,name,Jalan Eunos,regular
21462998,oneway,yes,regular
21462998,source,GPS,regular
21560675,highway,primary,regular
21560675,name,Boundary Road,regular
21560675,note,Part of route estimated ???,regular
21560675,oneway,yes,regular
21560675,source,Yahoo aerial images,regular
21581831,highway,residential,regular
21581831,oneway,yes,regular
21581831,source,Yahoo aerial images,regular
21677619,highway,residential,regular
21677619,name,Liang Seah Street,regular
21677619,oneway,yes,regular
21786033,bridge,yes,regular
21786033,highway,motorway_link,regular
21786033,lanes,2,regular
21786033,layer,1,regular
21786033,oneway,yes,regular
21786033,source,Yahoo aerial images,regular
21815901,highway,primary,regular
21815901,name,Jalan Besar,regular
21815901,oneway,yes,regular
21815901,source,Yahoo aerial images,regular
21940432,highway,residential,regular
21940432,name,Cuscaden Road,regular
21940432,source,Yahoo aerial images,regular
21959097,highway,motorway_link,regular
21959097,source,Yahoo aerial images,regular
21998978,highway,secondary,regular
21998978,name,Neil Road,regular
21998978,en,Neil Road,name
21998978,zh,尼路,name
21998978,oneway,yes,regular
22012988,highway,secondary,regular
22012988,name,Tanjong Pagar Road,regular
22034474,highway,secondary,regular
22034474,maxheight,4.5,regular
22034474,name,Merchant Road,regular
22034474,oneway,yes,regular
22034474,source,Yahoo aerial images,regular
22053487,highway,tertiary,regular
22053487,name,Holland Avenue,regular
22053487,source,Yahoo aerial images,regular
22278427,highway,service,regular
22291137,highway,primary,regular
22291137,maxspeed,50,regular
22291137,name,Paya Lebar Road,regular
22291137,oneway,yes,regular
22308636,highway,residential,regular
22308636,name,Lorong 7 Toa Payoh,regular
22325096,highway,tertiary,regular
22325096,junction,roundabout,regular
22325096,name,Serangoon Garden Circus,regular
22371290,highway,motorway,regular
22371290,maxspeed,90,regular
22371290,name,Central Expressway,regular
22371290,oneway,yes,regular
22371290,ref,CTE,regular
22393127,highway,residential,regular
